game_dates,pitcher_hm,pitcher_aw,hitman_hm_1,hitman_hm_2,hitman_hm_3,hitman_hm_4,hitman_hm_5,hitman_hm_6,hitman_hm_7,hitman_hm_8,hitman_hm_9,hitman_aw_1,hitman_aw_2,hitman_aw_3,hitman_aw_4,hitman_aw_5,hitman_aw_6,hitman_aw_7,hitman_aw_8,hitman_aw_9,winner,gameId,homeTeamCode,awayTeamCode,hm_R,hm_h,hm_e,hm_b,aw_R,aw_h,aw_e,aw_b
20180417,65742,68948,67341,65399,67394,64300,77564,79334,64346,79365,79300,62907,73339,62947,67935,74465,78813,62931,62934,76720,AWAY,20180417NCWO02018,WO,NC,2,8,0,5,3,9,0,2
20180417,65546,68400,76249,77532,77463,71564,76100,67598,62556,72546,61591,79465,62415,75566,67450,61404,74540,72466,64610,79402,AWAY,20180417SSLT02018,LT,SS,6,11,2,5,11,13,2,7
20180418,62528,76355,78513,61204,77532,71564,76249,76509,68525,62556,67539,62415,79402,79465,67450,61404,74540,71432,64610,66462,HOME,20180418SSLT02018,LT,SS,9,13,1,4,7,15,0,6
20180418,66047,62869,64006,68050,67025,74215,74339,76313,73113,78548,60558,63704,62895,75847,67872,66838,76812,75151,73209,76802,AWAY,20180418SKKT02018,KT,SK,3,9,1,3,8,13,0,3
20180418,65320,66960,67341,62353,64300,67394,64346,77564,76746,67304,79365,62907,73339,62947,67935,71552,78813,62931,62934,76720,AWAY,20180418NCWO02018,WO,NC,0,2,0,1,1,2,0,0
20180418,66160,68748,61208,76267,79215,78224,75334,74206,77248,65269,62244,75808,62797,76753,68730,73136,62700,79705,64717,66706,HOME,20180418HHOB02018,OB,HH,5,7,0,6,4,13,1,6
20180418,66643,68135,76849,67650,79608,72443,70410,66606,78629,62864,78603,65115,74823,72133,76290,79192,61102,79109,64153,63123,HOME,20180418LGHT02018,HT,LG,4,8,1,5,3,10,0,3
20180419,65331,68815,67005,68050,67025,74215,74339,73113,76313,78548,70553,63704,62895,75847,67872,66838,76812,75151,73209,76802,AWAY,20180419SKKT02018,KT,SK,5,13,0,4,6,7,0,2
20180419,65543,68742,79240,76267,79215,78224,76232,74206,65269,68244,77248,75808,62797,76753,68730,73136,71752,78756,64717,66702,HOME,20180419HHOB02018,OB,HH,5,11,0,3,2,7,0,3
20180419,77637,76455,70410,78603,67650,72443,78629,99606,66606,78643,60605,65115,64153,72133,76290,79192,61102,79109,63905,63123,HOME,20180419LGHT02018,HT,LG,8,12,1,2,4,8,0,1
