idx,code,name,position
000600,53058,정준영,hit
000601,53645,메디나,pit
000602,53734,스미스,pit
000603,53057,손민석,hit
000604,53296,윤준호,hit
000605,53833,맥카티,pit
000606,64596,김유영,hit
000607,53898,송영진,pit
000608,53865,김정민,hit
000609,53040,슐서,pit
000610,53400,김재상,hit
000611,53036,류현인,hit
000612,53139,박명근,pit
000613,53312,김건희,hit
000614,68463,윤정빈,hit
000615,52710,한경빈,hit
000616,68589,김동우,hit
000617,50995,정구범,hit
000618,51991,오장한,hit
000619,53303,송재선,hit
000620,53844,김건웅,hit
000621,75421,오승환,pit
000622,53233,딜런,pit
000623,50007,문상준,hit
000624,52402,김상민,hit
000625,53569,서동욱,hit
000626,53505,윤수녕,hit
000627,52295,이원재,pit
000628,69056,박민석,hit
000629,50906,박영빈,hit
000630,69068,이선우,pit
000631,53144,김범석,hit
000632,51344,김휘집,hit
000633,77243,허도환,hit
000634,68848,조성훈,pit
000635,68868,최준우,hit
000636,68556,정성종,pit
000637,67504,김민수,hit
000638,61666,한승혁,pit
000639,69108,이지강,pit
000640,74513,장원준,pit
000641,64565,이인복,pit
000642,66662,신범수,hit
000643,79215,박건우,hit
000644,74465,박석민,hit
000645,69508,신윤후,hit
000646,66838,김동엽,hit
000647,64407,김호재,hit
000648,66409,이성규,hit
000649,69238,김대한,hit
000650,53344,김동헌,hit
000651,53664,앤더슨,pit
000652,50293,양찬열,hit
000653,53996,이준호,pit
000654,75566,이원석,hit
000655,52405,조민성,hit
000656,53613,윤영철,pit
000657,68646,한준수,hit
000658,60841,박종훈,pit
000659,75847,최정,hit
000660,76812,이재원,hit
000661,50066,강현우,hit
000662,61101,임찬규,pit
000663,68106,이재원,hit
000664,77564,김민성,hit
000665,50150,손호영,hit
000666,69517,고승민,hit
000667,50726,한승주,pit
000668,51359,장재영,pit
000669,51230,김동주,pit
000670,79240,허경민,hit
000671,50441,황동재,pit
000672,75334,오재일,hit
000673,66406,안주형,hit
000674,53404,류승민,hit
000675,64560,이창진,hit
000676,68419,최채흥,pit
000677,76225,김건국,pit
000678,65610,황대인,hit
000679,66614,김규성,hit
000680,65056,엄상백,pit
000681,67006,안치영,hit
000682,64504,오윤석,hit
000683,64115,장준원,hit
000684,68220,곽빈,pit
000685,66233,홍성호,hit
000686,64468,박계범,hit
000687,51648,이의리,pit
000688,60566,이상호,hit
000689,52145,플럿코,pit
000690,64021,박세웅,pit
000691,52547,렉스,hit
000692,53825,엘리아스,pit
000693,53827,에레디아,hit
000694,66864,안상현,hit
000695,53714,산체스,pit
000696,66704,김태연,hit
000697,69702,김건,hit
000698,68902,신민혁,pit
000699,69992,최정원,hit
000700,62907,박민우,hit
000701,67900,김수윤,hit
000702,65320,최원태,pit
000703,50357,박주홍,hit
000704,69045,알칸타라,pit
000705,67207,이유찬,hit
000706,53665,산체스,pit
000707,61353,고종욱,hit
000708,65516,배제성,pit
000709,69134,이정용,pit
000710,50558,스트레일리,pit
000711,51528,손성빈,hit
000712,50859,오원석,pit
000713,62895,한유섬,hit
000714,52720,페냐,pit
000715,52457,수아레즈,pit
000716,69962,송명기,pit
000717,62934,김성욱,hit
000718,78148,정찬헌,pit
000719,67263,최원준,pit
000720,52043,벤자민,pit
000721,68341,안우진,pit
000722,52348,박찬혁,hit
000723,68346,김수환,hit
000724,52701,문동주,pit
000725,66657,이진영,hit
000726,66715,김인환,hit
000727,69737,노시환,hit
000728,79192,채은성,hit
000729,53764,문현빈,hit
000730,78288,최재훈,hit
000731,53716,윌리엄스,hit
000732,68743,정은원,hit
000733,65703,이도윤,hit
000734,69103,켈리,pit
000735,66108,홍창기,hit
000736,68119,문성주,hit
000737,76290,김현수,hit
000738,53123,오스틴,hit
000739,79109,오지환,hit
000740,79365,박동원,hit
000741,69102,문보경,hit
000742,62415,박해민,hit
000743,65207,신민재,hit
000744,69032,쿠에바스,pit
000745,68050,강백호,hit
000746,68504,이호연,hit
000747,64868,조용호,hit
000748,53375,후라도,pit
000749,64340,임지열,hit
000750,78135,이형종,hit
000751,79456,이지영,hit
000752,50312,신준우,hit
000753,67539,나균안,pit
000754,68525,한동희,hit
000755,50500,황성빈,hit
000756,53913,페디,pit
000757,62244,박세혁,hit
000758,52257,브랜든,pit
000759,79231,정수빈,hit
000760,74206,김재호,hit
000761,53211,로하스,hit
000762,76232,양의지,hit
000763,64153,양석환,hit
000764,78224,김재환,hit
000765,63123,강승호,hit
000766,63202,장승현,hit
000767,66928,박준영,hit
000768,77829,김광현,pit
000769,51817,추신수,hit
000770,50854,최지훈,hit
000771,62925,강진성,hit
000772,76267,최주환,hit
