backnum,playerName,playerCode,birth,info
58,이주형,51302,20020705,H_WO
0,김건형,51005,19960712,-
68,강윤구,79358,19900710,-
63,장지승,51706,19980704,-
33,가빌리오,51833,19900522,-
10,이명기,69366,20000103,-
39,몽고메리,51439,19890701,-
4,김병휘,50304,20010216,-
30,최민준,68856,19990611,P_SK
44,권혁경,51640,20020123,-
44,보어,51144,19880528,-
60,김동혁,50360,20011227,-
60,김태경,50992,20010407,P_NC
24,크레익,51309,19941116,-
78,강태경,50905,20010726,-
46,이재희,51460,20011011,P_SS
14,페레즈,51714,19910326,-
49,최보성,68909,19981016,-
50,이원석,68700,19990331,H_HH
57,김규남,69810,19950512,-
44,배민서,69974,19991118,-
59,김건우,51867,20020712,-
31,이정범,67807,19980410,H_SK
11,남지민,50720,20010212,P_HH
97,조병현,51897,20020508,-
36,다카하시,51636,19970123,-
62,장규현,51762,20020628,-
64,최승용,51264,20010511,P_OB
67,송호정,51767,20020310,-
59,임준형,69113,20001116,-
41,정민규,51764,20030110,-
35,김석환,67610,19990228,H_HT
2,박지훈,50204,20000907,-
46,김명신,67246,19931129,-
12,터크먼,52712,19901203,H_HH
4,마티니,52904,19900627,H_NC
12,루이즈,52112,19940522,-
25,라모스,52025,19920415,-
8,애플러,52308,19930105,P_WO
66,푸이그,52366,19901207,H_WO
27,크론,52827,19930217,-
26,피터스,52526,19951212,-
6,오명진,50208,20010904,-
9,이병규,67363,19941005,H_WO
16,조세진,52516,20031121,H_LT
67,윤도현,52667,20030507,-
68,김한별,50902,20010118,H_NC
98,이성원,68706,19991102,-
66,송찬의,68110,19990220,H_LG
34,스탁,52234,19891121,P_OB
45,로니,52645,19960106,-
33,노바,52833,19870112,-
63,이상우,52063,20031014,-
102,안현민,52001,20030822,-
35,이태훈,68466,19950403,H_SS
28,임석진,66833,19971010,H_HT
4,이재홍,51307,19981217,-
4,이상혁,52704,20010914,-
36,양경식,51305,20010203,-
13,하재훈,69813,19901029,H_SK
56,최준용,50556,20011010,-
37,놀린,52637,19891226,P_HT
50,오태양,51996,20020425,H_NC
24,김재혁,52424,19991226,-
66,박신지,68249,19990716,P_OB
57,스파크맨,52557,19920511,P_LT
64,허인서,52764,20030711,H_HH
21,김시훈,68928,19990224,-
95,원혁재,67760,19950129,-
8,최상민,68805,19990820,H_SK
13,유준규,51013,20020816,-
26,박유연,67202,19981220,-
30,강현구,51269,20020616,-
56,권광민,52769,19971212,H_HH
68,한태양,52568,20030915,H_LT
67,이해승,69416,20000801,H_SS
69,석정우,52804,19990120,H_SK
56,전의산,50820,20001125,H_SK
48,이용준,51948,20020508,P_NC
60,전영준,52809,20020416,-
63,김민수,69500,19960611,-
22,라미레즈,52707,19931128,P_HH
26,김시앙,51303,20011031,H_WO
