idx,code,year,date,result,startup,ip,run,er,bf,ab,hit,second,third,homerun,bb,ibb,hbp,k,pit,whip,avg,obp,ops,era,avli,re24,wpa,gsc,decision,itv
000082,65331,2018,06-06,L 2:5,1,6.2,2,1,26,23,5,0,0,1,2,0,0,6,101,1.28,0.269,0.28,0.63,4.12,1.26,2.5,0.259,62,-,6
000083,65331,2018,06-12,L 2:3,1,7.0,2,2,25,23,5,1,0,1,2,0,0,3,101,1.25,0.264,0.28,0.67,3.94,0.9,1.89,0.177,60,-,6
000084,65331,2018,06-17,W 5:4,1,7.0,3,3,27,25,6,0,0,2,2,0,0,8,123,1.24,0.261,0.3,0.78,3.93,1.09,0.89,-0.058,59,-,5
000085,65331,2018,06-23,L 4:7,1,6.0,6,5,29,23,5,0,0,2,5,0,0,5,119,1.27,0.258,0.36,0.84,4.22,0.77,-2.67,-0.298,40,L,6
000086,65331,2018,07-04,W 6:5,1,6.0,5,5,29,27,10,1,0,0,2,0,0,4,102,1.33,0.268,0.41,0.82,4.46,1.43,-1.67,-0.09,34,W,7+
000087,65331,2018,07-10,W 9:1,1,7.0,1,1,26,24,5,0,0,1,2,0,0,6,105,1.3,0.263,0.27,0.6,4.21,0.56,2.89,0.092,67,W,6
000088,65331,2018,07-17,L 1:8,1,5.0,6,6,24,22,8,2,0,2,2,0,0,5,89,1.34,0.269,0.42,1.14,4.56,0.77,-3.23,-0.227,30,L,7
000089,65331,2018,07-22,W 6:5,1,6.0,4,3,28,24,9,1,0,0,3,0,0,5,118,1.38,0.276,0.43,0.84,4.56,0.84,-0.67,-0.094,42,W,5
000090,65331,2018,07-28,W 11:10,1,5.0,7,7,28,26,13,2,0,1,2,0,0,5,101,1.46,0.29,0.54,1.23,4.95,1.17,-4.23,-0.379,16,-,6
000091,65331,2018,08-04,L 1:3,1,7.0,1,1,25,24,5,0,0,1,1,0,0,7,99,1.42,0.286,0.24,0.57,4.72,0.86,2.89,0.236,69,-,7
